Log File;Protocol;Benchmark;Cache Size;Associativity;Block Size;Max Exec;Exec 0;Exec 1;Exec 2;Exec 3;Comp 0;Comp 1;Comp 2;Comp 3;LD 0;ST 0;LD 1;ST 1;LD 2;ST 2;LD 3;ST 3;Idle 0;Idle 1;Idle 2;Idle 3;Miss% 0;Miss% 1;Miss% 2;Miss% 3;Traffic;Invalidations;Updates;Write-backs;Priv% T;Priv% 0;Priv% 1;Priv% 2;Priv% 3;Priv T;Priv 0;Priv 1;Priv 2;Priv 3;Real (s);User (s);Sys (s);CPU (%);Ctx-sw (vol);Ctx-sw (invol);PFault (maj);PFault (min);Swaps
Dragon-blackscholes-1024-2-16.time;Dragon;blackscholes;1024;2;16;32786520;32642957;33674053;32813846;33674053;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;22356206;22259681;23243715;22418942;9.08%;9.06%;9.39%;9.09%;20383244;0;1203;358266;84.11%;84.47%;84.14%;84.12%;83.71%;8411074;2109488;2095408;2110686;2095492;271.87;270.89;0.93;99;187;8;0;341521;0
Dragon-blackscholes-128-2-16.time;Dragon;blackscholes;128;2;16;155076137;154710189;155686417;155419000;155686417;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;144645823;144326913;145256079;145024096;58.64%;58.67%;58.61%;58.66%;134482844;0;31;2540516;92.39%;92.84%;92.92%;93.28%;90.52%;9239084;2318628;2314080;2340562;2265814;432.80;428.77;2.34;99;351;10;0;302322;0
Dragon-blackscholes-16384-2-16.time;Dragon;blackscholes;16384;2;16;15106334;14993221;15709958;15064252;15709958;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;4676020;4609945;5279620;4669348;0.90%;0.89%;1.16%;0.90%;1769112;0;18690;9618;82.25%;80.04%;81.03%;81.03%;86.91%;8225383;1998974;2018018;2033042;2175349;976.54;972.90;3.52;99;590;8;0;308742;0
Dragon-blackscholes-2048-2-16.time;Dragon;blackscholes;2048;2;16;21084031;20946742;21941606;21063444;21941606;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;10653717;10563466;11511268;10668540;4.04%;4.01%;4.36%;4.04%;8862112;0;2584;141893;82.53%;82.46%;82.70%;82.70%;82.24%;8252568;2059355;2059683;2075043;2058487;261.42;260.36;1.04;99;787;8;0;302392;0
Dragon-blackscholes-256-2-16.time;Dragon;blackscholes;256;2;16;118173590;117903853;118870603;118440037;118870603;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;107743276;107520577;108440265;108045133;44.44%;44.47%;44.52%;44.48%;106549488;0;168;2211447;91.63%;93.25%;91.70%;90.24%;91.31%;9162534;2328863;2283871;2264209;2285591;428.27;424.60;2.51;99;308;12;0;302322;0
Dragon-blackscholes-32768-2-16.time;Dragon;blackscholes;32768;2;16;14560805;14418418;15065794;14505784;15065794;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;4130491;4035142;4635456;4110880;0.68%;0.66%;0.89%;0.68%;1824824;0;131206;8337;80.18%;80.00%;71.93%;81.91%;86.86%;8018489;1997833;1791432;2055097;2174127;1303.99;1298.54;5.36;99;686;7;0;302492;0
Dragon-blackscholes-4096-1-16.time;Dragon;blackscholes;4096;1;16;19977160;19859996;20649272;19940497;20649272;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;9546846;9476720;10218934;9545593;3.96%;3.93%;4.27%;3.95%;7024116;0;3809;35277;82.75%;82.43%;83.66%;82.49%;82.44%;8275373;2058649;2083500;2069726;2063498;524.06;521.84;1.86;99;968;10;0;325388;0
Dragon-blackscholes-4096-128-16.time;Dragon;blackscholes;4096;128;16;13735945;13642290;14514725;13673135;14514725;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;3305631;3259014;4084387;3278231;0.35%;0.31%;0.65%;0.33%;879768;0;6002;12285;84.55%;80.01%;95.30%;81.22%;81.74%;8455347;1998136;2373335;2037848;2046028;932.90;929.88;2.10;99;1033;9;0;331669;0
Dragon-blackscholes-4096-16-16.time;Dragon;blackscholes;4096;16;16;13742725;13642619;14523403;13681073;14523403;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;3312411;3259343;4093065;3286169;0.35%;0.31%;0.66%;0.34%;886640;0;6276;12345;83.64%;80.26%;91.38%;81.22%;81.74%;8363953;2004368;2275753;2037795;2046037;325.90;323.81;1.19;99;419;8;0;315547;0
Dragon-blackscholes-4096-2-1024.time;Dragon;blackscholes;4096;2;1024;93898415;93611639;93981207;94028468;94028468;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;83468101;83228363;83550869;83633564;15.56%;15.55%;15.55%;15.56%;1931152200;0;210;330644;94.32%;94.28%;94.31%;94.33%;94.35%;9431734;2354598;2348647;2366737;2361752;265.01;263.25;1.69;99;231;8;0;302887;0
